,Adjusted_Canonical_Relative_PowerTheta_all,Adjusted_Canonical_Relative_PowerAlpha_all,Adjusted_Canonical_Relative_PowerBeta_all,Adjusted_Canonical_Relative_PowerGamma_all
0,0.6337952488687782,0.4757352941176471,0.6002828054298642,0.5681985294117647
1,0.633314479638009,0.45166855203619904,0.585633484162896,0.5240101809954751
2,0.6262443438914027,0.44230769230769235,0.592816742081448,0.5486142533936651
3,0.6169966063348415,0.4585972850678733,0.6116798642533936,0.5832861990950227
4,0.6363122171945701,0.46227375565610856,0.5722285067873303,0.545079185520362
5,0.6469739819004525,0.4562782805429864,0.5801470588235293,0.5129524886877828
6,0.6072963800904977,0.46060520361990953,0.601923076923077,0.4946266968325792
7,0.6398755656108598,0.4669683257918552,0.6241233031674209,0.5560803167420815
8,0.6585690045248869,0.46085972850678736,0.6071266968325792,0.55625
9,0.596210407239819,0.4527997737556561,0.5891402714932127,0.5257918552036199
