,Theta,Alpha,Beta,Gamma
0,13.125,4.375,0.625,0.0
1,12.5,4.375,1.875,0.625
2,12.5,4.375,1.25,0.0
3,15.0,3.75,1.875,0.0
4,11.875,3.75,2.5,0.0
5,13.750000000000002,4.375,1.25,0.0
6,15.625,3.75,0.625,0.625
7,12.5,4.375,1.875,0.0
8,15.0,3.125,0.625,0.625
9,11.875,4.375,3.125,0.0
