,Theta,Alpha,Beta,Gamma
0,5.0,0.0,10.625,15.0
1,5.625,2.5,5.0,4.375
2,4.375,0.625,9.375,8.75
3,5.625,4.375,13.125,14.374999999999998
4,6.875000000000001,0.0,5.625,6.875000000000001
5,4.375,1.875,6.875000000000001,5.0
6,6.25,0.0,16.875,5.625
7,4.375,1.25,8.75,11.875
8,4.375,2.5,10.625,1.25
9,4.375,0.0,8.125,5.0
