,age,site
461,0.85,1
462,0.8,1
463,0.5175,3
464,0.2,5
465,0.1352,0
466,0.27,4
467,0.1725,0
468,0.64,1
469,0.11199999999999999,0
470,0.21,5
471,0.24109999999999998,0
472,0.6689,3
473,0.23079999999999998,3
474,0.7353000000000001,3
475,0.6172,3
476,0.63,1
477,0.6583,0
478,0.6815000000000001,3
479,0.24,5
480,0.2,5
481,0.3,3
482,0.24,4
483,0.64,3
484,0.49,1
485,0.10890000000000001,0
486,0.53,1
487,0.62,2
488,0.27,5
489,0.6495000000000001,3
490,0.12300000000000001,0
491,0.6883,3
492,0.4,1
493,0.31,4
494,0.63,1
495,0.6268,0
496,0.0691,0
497,0.6922,3
498,0.2314,3
499,0.83,1
500,0.6253,3
501,0.43,2
502,0.3013,3
503,0.24,1
504,0.7138,0
505,0.32,1
506,0.3465,3
507,0.1176,0
508,0.2121,3
509,0.2742,3
510,0.29,1
511,0.6879000000000001,3
512,0.27949999999999997,0
513,0.0885,0
514,0.8,1
515,0.36,1
516,0.44,1
517,0.28,5
518,0.0649,0
519,0.56,1
520,0.24,5
521,0.3,2
522,0.65,1
523,0.7245,0
524,0.23,5
525,0.47,1
526,0.48,1
527,0.687,3
528,0.41,1
529,0.2778,3
530,0.66,1
531,0.6469,3
532,0.22699999999999998,3
533,0.49,1
534,0.26,1
535,0.32,1
536,0.069,0
537,0.22,5
538,0.1159,0
539,0.6339,3
540,0.49,1
541,0.1283,0
542,0.46,1
543,0.455,0
544,0.19,5
545,0.51,1
546,0.6803,3
547,0.0755,0
548,0.128,0
549,0.62,1
550,0.25,5
551,0.6970000000000001,3
552,0.32,4
553,0.19329999999999997,0
554,0.095,0
555,0.18,5
556,0.44,1
557,0.41,1
558,0.2586,3
559,0.19,5
560,0.61,1
561,0.23,4
562,0.18760000000000002,3
563,0.4071,3
564,0.76,1
565,0.14,0
566,0.6673,3
567,0.48,2
568,0.17170000000000002,0
569,0.19,5
570,0.2777,3
571,0.24,5
572,0.35,3
573,0.26,4
574,0.3214,3
575,0.45,1
576,0.28,4
577,0.1162,0
578,0.42950000000000005,0
579,0.31,4
580,0.74,1
581,0.19,5
582,0.2898,3
583,0.63,1
584,0.4,1
585,0.21,3
586,0.36,1
587,0.20350000000000001,0
588,0.32,2
589,0.204,3
590,0.3009,3
591,0.72,1
592,0.21,5
593,0.7664,3
594,0.1408,0
595,0.28,1
596,0.26,4
597,0.1404,0
598,0.619,0
599,0.0958,0
600,0.87,1
601,0.0894,0
602,0.4573,0
603,0.2848,3
604,0.3,4
605,0.28,3
606,0.30760000000000004,0
607,0.5727,0
608,0.4094,0
609,0.27,4
610,0.1416,0
611,0.6236999999999999,3
612,0.21,5
613,0.6822,0
614,0.0704,0
615,0.4521,0
616,0.7084999999999999,0
617,0.6622,3
618,0.2089,3
619,0.28,1
620,0.56,1
621,0.33,4
622,0.24,4
623,0.7,1
624,0.76,1
625,0.31,1
626,0.10619999999999999,0
627,0.28,2
628,0.31,4
629,0.43,1
630,0.34,1
631,0.23,2
632,0.6417,3
633,0.28,2
634,0.24,5
635,0.2236,0
636,0.2177,3
637,0.20929999999999999,3
638,0.2775,0
639,0.8,1
640,0.71,1
641,0.2,5
642,0.63,1
643,0.37,1
644,0.2,5
645,0.07519999999999999,0
646,0.23,5
647,0.85,1
648,0.25,2
649,0.0641,0
650,0.6339,3
651,0.4,1
652,0.672,3
653,0.6781999999999999,0
654,0.083,0
655,0.2353,3
656,0.2,1
657,0.21,5
658,0.28,3
659,0.6938,3
660,0.38,1
661,0.21,5
662,0.4892,0
663,0.3881,0
664,0.2451,3
665,0.1117,0
666,0.36,2
667,0.34,1
668,0.20629999999999998,3
669,0.6585,3
670,0.0805,0
671,0.22,5
672,0.13269999999999998,0
673,0.66,1
674,0.1361,0
675,0.72,1
676,0.0775,0
677,0.31,4
678,0.8,1
679,0.1285,0
680,0.8,1
681,0.2857,0
682,0.32,3
683,0.2152,3
684,0.10300000000000001,0
685,0.3666,0
686,0.23,4
687,0.36,2
688,0.6759999999999999,3
689,0.3029,3
690,0.34,4
691,0.5,1
692,0.25,5
693,0.7273999999999999,0
694,0.1217,0
695,0.6446999999999999,3
696,0.41,1
697,0.3346,0
698,0.26,1
699,0.35,4
700,0.4233,0
701,0.55,1
702,0.139,0
703,0.68,1
704,0.43579999999999997,0
705,0.84,1
706,0.2821,3
707,0.26,3
708,0.1288,0
709,0.10210000000000001,0
710,0.10640000000000001,0
711,0.3557,3
712,0.5,1
713,0.23,4
714,0.31,4
715,0.54,1
716,0.23,2
717,0.6659,0
718,0.25120000000000003,3
719,0.36840000000000006,3
720,0.6253,3
721,0.2809,3
722,0.11720000000000001,0
723,0.51,2
724,0.29,5
725,0.72,1
726,0.42,1
727,0.46,1
728,0.29,2
729,0.4763,0
730,0.33,4
731,0.75,1
732,0.79,1
733,0.33,1
734,0.1139,0
735,0.7,1
736,0.21230000000000002,3
737,0.7018000000000001,0
738,0.1985,3
739,0.1197,0
740,0.23260000000000003,3
741,0.23,5
742,0.77,1
743,0.34,3
744,0.29469999999999996,0
745,0.52,1
746,0.259,0
747,0.48,1
748,0.44380000000000003,0
749,0.71,1
750,0.1329,0
751,0.56,1
752,0.21,5
753,0.7464,3
754,0.11349999999999999,0
755,0.5,1
756,0.1946,3
757,0.6626000000000001,3
758,0.2,3
759,0.23,1
760,0.24,3
761,0.1325,0
762,0.48,1
763,0.662,3
764,0.0662,0
765,0.1369,0
766,0.35,2
767,0.61,1
768,0.1167,0
769,0.8,1
770,0.76,1
771,0.41,1
772,0.1042,0
773,0.22,5
774,0.24,1
775,0.6624,0
776,0.72,1
777,0.2702,3
778,0.6065999999999999,3
779,0.57,1
780,0.1243,0
781,0.29,1
782,0.83,1
783,0.44,1
784,0.22,5
785,0.79,1
786,0.1036,0
787,0.11289999999999999,0
788,0.6568,3
789,0.37,1
790,0.6108,3
791,0.349,0
792,0.37,1
793,0.4,1
794,0.23850000000000002,3
795,0.6114999999999999,3
796,0.22,2
797,0.58,3
798,0.45,1
799,0.23,5
800,0.2,5
801,0.21,5
802,0.49,2
803,0.22,0
804,0.29,1
805,0.67,1
806,0.85,1
807,0.2291,3
808,0.59,1
809,0.2,5
810,0.6734,0
811,0.28,4
812,0.68,1
813,0.52,1
814,0.09269999999999999,0
815,0.59,1
816,0.0934,0
817,0.29,5
818,0.6704000000000001,3
819,0.25120000000000003,3
820,0.33,1
821,0.285,0
822,0.78,1
823,0.11259999999999999,0
824,0.27,3
825,0.3214,3
826,0.0625,0
827,0.25,3
828,0.45,1
829,0.4,1
830,0.51,1
831,0.1417,0
832,0.1317,0
833,0.2243,3
834,0.2175,3
835,0.8,1
836,0.51,1
837,0.4703,0
838,0.32130000000000003,0
839,0.1032,0
840,0.64,1
841,0.0959,0
842,0.42,1
843,0.6,1
844,0.23,2
845,0.111,0
846,0.22,2
847,0.2484,3
848,0.1307,0
849,0.26,4
850,0.5,1
851,0.32159999999999994,0
852,0.58,1
853,0.51,1
854,0.25,2
855,0.26,5
856,0.0759,0
857,0.113,0
858,0.5906,0
859,0.36,1
860,0.1162,0
861,0.7011,0
862,0.56,1
863,0.34,1
864,0.1125,0
865,0.4,1
866,0.19760000000000003,3
867,0.21,5
868,0.31,4
869,0.7215,0
870,0.29,4
871,0.2253,3
872,0.26,1
873,0.83,1
874,0.37,1
875,0.6536,3
876,0.2422,3
877,0.37,1
878,0.642,3
879,0.21660000000000001,3
880,0.105,0
881,0.6873,0
882,0.25,5
883,0.83,1
884,0.28,4
885,0.6,1
886,0.08439999999999999,0
887,0.4617,0
888,0.3197,3
889,0.3492,0
890,0.7798999999999999,3
891,0.1106,0
892,0.32,1
893,0.32,4
894,0.7101999999999999,3
895,0.6509999999999999,3
896,0.2934,0
897,0.37,1
898,0.2425,3
899,0.24,5
900,0.19219999999999998,3
901,0.19,3
902,0.66,1
903,0.6496,3
904,0.34,2
905,0.2616,3
906,0.8,1
907,0.48,1
908,0.62,1
909,0.78,1
910,0.2,5
911,0.12960000000000002,0
912,0.2016,3
913,0.2145,0
914,0.49,1
915,0.22,3
916,0.32380000000000003,3
917,0.12300000000000001,0
918,0.67,1
919,0.2613,3
920,0.3759,0
921,0.37189999999999995,3
922,0.1954,3
923,0.12179999999999999,0
924,0.5332,0
925,0.59,1
926,0.23,4
927,0.11779999999999999,0
928,0.87,1
929,0.27,1
930,0.63,1
931,0.2,5
932,0.2,5
933,0.49,1
934,0.47,1
935,0.2414,3
936,0.81,1
937,0.7193,0
938,0.1017,0
939,0.3072,3
940,0.31079999999999997,3
941,0.75,1
942,0.5427000000000001,0
943,0.6618,3
944,0.1297,0
945,0.6613,3
946,0.78,1
947,0.19,5
948,0.2,3
949,0.5740999999999999,0
950,0.31,4
951,0.64,1
952,0.75,1
953,0.83,1
954,0.8,1
955,0.47,1
956,0.26,4
957,0.2235,0
958,0.21,5
959,0.52,1
960,0.67,1
961,0.18,5
962,0.1157,0
963,0.87,1
964,0.19,5
965,0.1394,0
966,0.27,5
967,0.28,5
968,0.35,4
969,0.1124,0
970,0.7595000000000001,0
971,0.29,1
972,0.2779,3
973,0.43,1
974,0.6365999999999999,3
975,0.79,1
976,0.4704,3
977,0.2792,0
978,0.6859999999999999,3
979,0.29,4
980,0.7041,0
981,0.76,1
982,0.4717,3
983,0.37,3
984,0.6420999999999999,3
985,0.62,1
986,0.28,5
987,0.08439999999999999,0
988,0.21,5
989,0.24,1
990,0.20850000000000002,3
991,0.7,1
992,0.64,1
993,0.691,3
994,0.7161,3
995,0.1063,0
996,0.6,1
997,0.1109,0
998,0.29,2
999,0.28,1
1000,0.7349,3
1001,0.0755,0
1002,0.2555,3
1003,0.6389,3
1004,0.1775,0
1005,0.6,1
1006,0.47,1
1007,0.2389,3
1008,0.2,5
1009,0.3,3
1010,0.8,1
1011,0.19,3
1012,0.24,5
1013,0.2865,3
1014,0.08789999999999999,0
1015,0.20190000000000002,0
1016,0.32,2
1017,0.22,4
1018,0.0947,0
1019,0.21,5
1020,0.6204999999999999,3
1021,0.061799999999999994,0
1022,0.54,1
1023,0.56,1
1024,0.14859999999999998,0
1025,0.20879999999999999,0
1026,0.21,2
1027,0.86,1
1028,0.19,5
1029,0.30519999999999997,3
1030,0.22,5
1031,0.2642,3
1032,0.76,1
1033,0.34,1
1034,0.25,1
1035,0.1108,0
1036,0.2696,3
1037,0.24,1
1038,0.3165,3
1039,0.76,1
1040,0.3,2
1041,0.0908,0
1042,0.47,1
1043,0.060700000000000004,0
1044,0.5852,0
1045,0.48,1
1046,0.24670000000000003,0
1047,0.57,1
1048,0.19269999999999998,3
1049,0.48,1
1050,0.46,1
1051,0.2,5
1052,0.38159999999999994,0
1053,0.25,1
1054,0.32530000000000003,0
1055,0.18,5
1056,0.0873,0
1057,0.1873,3
1058,0.1003,0
1059,0.31,1
1060,0.5153,3
1061,0.55,1
1062,0.12960000000000002,0
1063,0.24,3
1064,0.3,4
1065,0.27,4
1066,0.24,5
1067,0.2928,3
1068,0.2582,0
1069,0.38,2
1070,0.18,5
1071,0.28550000000000003,0
1072,0.6301,3
1073,0.8465,0
1074,0.2532,3
1075,0.2956,3
1076,0.2359,0
1077,0.76,1
1078,0.59,1
1079,0.75,1
1080,0.55,1
1081,0.73,1
1082,0.8,1
1083,0.42,1
1084,0.0683,0
1085,0.07150000000000001,0
1086,0.1783,0
1087,0.22,3
1088,0.263,3
1089,0.79,1
1090,0.5789,0
1091,0.21,5
1092,0.1324,0
1093,0.2445,0
1094,0.54,1
1095,0.19,5
1096,0.2743,3
1097,0.63,1
1098,0.41,1
1099,0.4,1
1100,0.6733,3
1101,0.22,2
1102,0.34,1
1103,0.48,1
1104,0.8378,3
1105,0.19,5
1106,0.1127,0
1107,0.2,1
1108,0.26,5
1109,0.0727,0
1110,0.34,0
1111,0.6288,3
1112,0.23,5
1113,0.59,1
1114,0.62,1
1115,0.6922,3
1116,0.29,3
1117,0.2495,3
1118,0.23,3
1119,0.24,4
1120,0.19440000000000002,3
1121,0.2165,3
1122,0.58,1
1123,0.81,1
1124,0.0755,0
1125,0.7314,3
1126,0.72,1
1127,0.152,0
1128,0.7027,0
1129,0.2559,3
1130,0.6242,3
1131,0.74,1
1132,0.43,3
1133,0.69,1
1134,0.19,5
1135,0.27,4
1136,0.41259999999999997,3
1137,0.2743,3
1138,0.1103,0
1139,0.29,3
1140,0.6862,3
1141,0.2,3
1142,0.2729,3
1143,0.78,1
1144,0.6067,3
1145,0.7251000000000001,3
1146,0.75,1
1147,0.57,1
1148,0.1186,0
1149,0.0959,0
1150,0.21,5
1151,0.1151,0
1152,0.3856,0
1153,0.22,5
1154,0.76,1
1155,0.4144,3
1156,0.33,2
1157,0.77,1
1158,0.1675,0
1159,0.1232,0
1160,0.44,1
1161,0.55,1
1162,0.22,5
1163,0.51,1
1164,0.23,5
1165,0.0883,0
1166,0.23,5
1167,0.2161,3
1168,0.32,1
1169,0.67,1
1170,0.78,1
1171,0.32,1
1172,0.3249,3
1173,0.4278,3
1174,0.5195000000000001,0
1175,0.6207,3
1176,0.1317,0
1177,0.4004,3
1178,0.6887000000000001,3
1179,0.2,5
1180,0.68,1
1181,0.48,1
1182,0.09029999999999999,0
1183,0.16670000000000001,0
1184,0.4,1
1185,0.7542,3
1186,0.1198,0
1187,0.22,2
1188,0.68,3
1189,0.19,5
1190,0.0876,0
1191,0.56,2
1192,0.2487,0
1193,0.23,5
1194,0.32,1
1195,0.73,1
1196,0.35,1
1197,0.64,1
1198,0.27,4
1199,0.43450000000000005,0
1200,0.41,1
1201,0.11109999999999999,0
1202,0.0892,0
1203,0.1244,0
1204,0.62,1
1205,0.34,1
1206,0.2545,3
1207,0.5,1
1208,0.5364,3
1209,0.2266,3
1210,0.3,5
1211,0.77,1
1212,0.37,1
1213,0.215,3
1214,0.2,5
1215,0.22,5
1216,0.28,1
1217,0.2792,0
1218,0.26,1
1219,0.29,3
1220,0.67,1
1221,0.35,2
1222,0.18,5
1223,0.39,1
1224,0.6909000000000001,3
1225,0.44,1
1226,0.79,1
1227,0.6617000000000001,3
1228,0.11960000000000001,0
1229,0.1276,0
1230,0.6575,3
1231,0.2,5
1232,0.22,5
1233,0.21,3
1234,0.74,1
1235,0.18,5
1236,0.1213,0
1237,0.21,5
1238,0.39,1
1239,0.21739999999999998,3
1240,0.45,1
1241,0.73,1
1242,0.8284999999999999,3
1243,0.7641,0
1244,0.35,4
1245,0.2622,0
1246,0.08449999999999999,0
1247,0.155,0
1248,0.67,1
1249,0.34,1
1250,0.23,5
1251,0.28,1
1252,0.19,5
1253,0.21,5
1254,0.11230000000000001,0
1255,0.44,1
1256,0.19,5
1257,0.63,1
1258,0.57,1
1259,0.72,1
1260,0.47,1
1261,0.6457999999999999,3
1262,0.24,5
1263,0.1148,0
1264,0.27,0
1265,0.81,1
1266,0.19,1
1267,0.2667,3
1268,0.11,0
1269,0.1494,0
1270,0.5995,3
1271,0.53,1
1272,0.71,1
1273,0.54,1
1274,0.84,1
1275,0.10220000000000001,0
1276,0.79,1
1277,0.5564,0
1278,0.63,1
1279,0.32,4
1280,0.52,1
1281,0.79,1
1282,0.2224,0
1283,0.07519999999999999,0
1284,0.25739999999999996,3
1285,0.2876,3
1286,0.1175,0
1287,0.6467,3
1288,0.45,1
1289,0.7093,3
1290,0.25,5
1291,0.31,4
1292,0.54,1
1293,0.19,5
1294,0.628,3
1295,0.49,2
1296,0.56,1
1297,0.17329999999999998,0
1298,0.5775,3
1299,0.2,5
1300,0.23,5
1301,0.0992,0
1302,0.1292,0
1303,0.21,1
1304,0.2095,3
1305,0.27,5
1306,0.19,5
1307,0.52,1
1308,0.81,1
1309,0.5988,3
1310,0.1257,0
1311,0.23,2
1312,0.29,1
1313,0.62,1
1314,0.24,5
1315,0.2271,3
1316,0.32,4
1317,0.25,2
1318,0.79,1
1319,0.54,1
1320,0.77,1
1321,0.27,4
1322,0.21,5
1323,0.6086,0
1324,0.27,5
1325,0.39,1
1326,0.29,4
1327,0.38,1
1328,0.1344,0
1329,0.21,5
1330,0.12789999999999999,0
1331,0.3703,3
1332,0.1005,0
1333,0.7184,3
1334,0.25420000000000004,3
1335,0.22010000000000002,3
1336,0.78,1
1337,0.2814,0
1338,0.26,4
1339,0.08039999999999999,0
1340,0.23,5
1341,0.77,1
1342,0.5635,0
1343,0.25,5
1344,0.19,5
1345,0.59,1
1346,0.7119,3
1347,0.504,0
1348,0.58,1
1349,0.1173,0
1350,0.44,2
1351,0.79,1
1352,0.7134999999999999,0
1353,0.7170000000000001,3
1354,0.14029999999999998,0
1355,0.73,1
1356,0.22,4
1357,0.6,1
1358,0.8,1
1359,0.66,1
1360,0.83,1
1361,0.27,1
1362,0.1233,0
1363,0.11199999999999999,0
1364,0.2,5
1365,0.2061,3
1366,0.278,3
1367,0.2386,0
1368,0.21,5
1369,0.61,1
1370,0.23,4
1371,0.1492,0
1372,0.21,5
1373,0.3,4
1374,0.1423,0
1375,0.302,3
1376,0.54,1
1377,0.32,2
1378,0.1931,3
1379,0.49,2
1380,0.54,1
1381,0.7551000000000001,3
1382,0.77,1
1383,0.5722,0
1384,0.2,5
1385,0.7343999999999999,3
1386,0.5992999999999999,3
1387,0.22,4
1388,0.23,1
1389,0.6127,0
1390,0.69,1
1391,0.7156,3
1392,0.2973,0
1393,0.23,5
1394,0.2188,3
1395,0.27,2
1396,0.1352,0
1397,0.31,1
1398,0.6636,3
1399,0.84,1
1400,0.78,1
1401,0.21,2
1402,0.2439,3
1403,0.81,1
1404,0.6365999999999999,3
1405,0.7513,0
1406,0.36,1
1407,0.26,4
1408,0.5861999999999999,0
1409,0.22,3
1410,0.5,1
1411,0.47,1
1412,0.2792,0
1413,0.2526,3
1414,0.68,1
1415,0.1293,0
1416,0.35,1
1417,0.22039999999999998,3
1418,0.25,5
1419,0.2361,3
1420,0.22,2
1421,0.45,1
1422,0.0895,0
1423,0.75,1
1424,0.88,1
1425,0.29,2
1426,0.24,5
1427,0.55,1
1428,0.74,1
1429,0.18,5
1430,0.53,1
1431,0.32,1
1432,0.2718,3
1433,0.2,3
1434,0.135,0
1435,0.23,2
1436,0.29,4
1437,0.3896,0
1438,0.2116,3
1439,0.28,5
1440,0.34,1
1441,0.71,1
1442,0.22,4
1443,0.78,1
1444,0.11800000000000001,0
1445,0.2861,3
1446,0.19,5
1447,0.31,1
1448,0.43,1
1449,0.54,2
1450,0.35,1
1451,0.55,1
1452,0.49,2
1453,0.23,5
1454,0.62,1
1455,0.79,1
1456,0.6695,3
1457,0.2539,3
1458,0.25,1
1459,0.23,1
1460,0.79,1
1461,0.0764,0
1462,0.74,1
1463,0.64,1
1464,0.8,1
1465,0.1158,0
1466,0.27,1
1467,0.6829000000000001,3
1468,0.3066,3
1469,0.27,1
1470,0.2195,3
1471,0.785,3
1472,0.1065,0
1473,0.29,5
1474,0.1226,0
1475,0.18,5
1476,0.11699999999999999,0
1477,0.1263,0
1478,0.24,1
1479,0.53,1
1480,0.29,5
1481,0.28,1
1482,0.3933,3
1483,0.5627,0
1484,0.2757,3
1485,0.28,1
1486,0.22,3
1487,0.22,1
1488,0.29,3
1489,0.6543000000000001,3
1490,0.2703,3
1491,0.57,1
1492,0.5052,3
1493,0.2636,3
1494,0.1429,0
1495,0.78,1
1496,0.29,1
1497,0.6751999999999999,0
1498,0.6322,3
1499,0.85,1
1500,0.18,1
1501,0.664,3
1502,0.10490000000000001,0
1503,0.2828,3
1504,0.38,1
1505,0.4673,0
1506,0.18,5
1507,0.10490000000000001,0
1508,0.22,3
1509,0.2263,0
1510,0.24,2
1511,0.47,1
